AAM,exp_activation_energy
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([C:7]([F:9])([F:10])[F:8])=[CH:11][C:12]([N+:13]([O-:15])=[O:14])=[C:16]1[Cl:27])[O-:3].[NH2:17][CH2:18][C:19]1=[CH:20][CH:21]=[C:22]([CH:25]=[CH:26]1)[CH2:23][OH:24]>>[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([C:7]([F:9])([F:10])[F:8])=[CH:11][C:12]([N+:13]([O-:15])=[O:14])=[C:16]1[NH:17][CH2:18][C:19]2=[CH:20][CH:21]=[C:22]([CH:25]=[CH:26]2)[CH2:23][OH:24])[O-:3].[ClH:27],17.39
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([CH:15]=[CH:16]1)[Br:1])[O-:4].[CH2:12]1[CH2:11][CH2:10][NH:9][CH2:14][CH2:13]1>>[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([CH:15]=[CH:16]1)[N:9]2[CH2:10][CH2:11][CH2:12][CH2:13][CH2:14]2)[O-:4].[BrH:1],26.93
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([CH:15]=[CH:16]1)[Br:1])[O-:4].[CH2:12]1[CH2:11][CH2:10][NH:9][CH2:14][CH2:13]1>>[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([CH:15]=[CH:16]1)[N:9]2[CH2:10][CH2:11][CH2:12][CH2:13][CH2:14]2)[O-:4].[BrH:1],28.63
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:16]([N+:17]([O-:19])=[O:18])=[CH:20]1)[Cl:21])[O-:3].[NH2:8][C:9]1=[CH:10][CH:11]=[C:12]([CH:14]=[CH:15]1)[Br:13]>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:16]([N+:17]([O-:19])=[O:18])=[CH:20]1)[NH:8][C:9]2=[CH:10][CH:11]=[C:12]([CH:14]=[CH:15]2)[Br:13])[O-:3].[ClH:21],25.23
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[F:1])[O-:4].[O:14]=[CH:15][N:16]1[CH2:17][CH2:18][NH:19][CH2:20][CH2:21]1>>[O:14]=[CH:15][N:16]1[CH2:17][CH2:18][N:19]([CH2:20][CH2:21]1)[C:8]2=[CH:7][CH:6]=[C:5]([CH:13]=[C:9]2[N+:10]([O-:12])=[O:11])[N+:3]([O-:4])=[O:2].[FH:1],16.0
[CH3:1][O:2][C:16]1=[C:8]([CH:7]=[C:6]([CH:33]=[C:25]1[S:26](=[O:27])([C:29]([F:31])([F:32])[F:30])=[O:28])[N+:4]([O-:5])=[O:3])[S:9](=[O:10])([C:12]([F:14])([F:15])[F:13])=[O:11].[NH2:17][C:18]1=[CH:19][CH:20]=[C:21]([CH:23]=[CH:24]1)[Cl:22]>>[O:3]=[N+:4]([C:6]1=[CH:7][C:8]([S:9](=[O:10])([C:12]([F:14])([F:15])[F:13])=[O:11])=[C:16]([C:25]([S:26](=[O:27])([C:29]([F:31])([F:32])[F:30])=[O:28])=[CH:33]1)[NH:17][C:18]2=[CH:19][CH:20]=[C:21]([CH:23]=[CH:24]2)[Cl:22])[O-:5].[CH3:1][OH:2],20.27
[CH3:7][C:8]([CH3:10])([C:11]1=[CH:12][CH:13]=[C:14]([C:15]([N+:16]([O-:18])=[O:17])=[CH:19]1)[Br:20])[CH3:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[CH3:7][C:8]([CH3:10])([C:11]1=[CH:12][CH:13]=[C:14]([C:15]([N+:16]([O-:18])=[O:17])=[CH:19]1)[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[CH3:9].[BrH:20],21.93
[O:8]=[N+:9]([C:11]1=[CH:12][CH:13]=[C:14]([C:15]([N+:16]([O-:18])=[O:17])=[CH:19]1)[Cl:20])[O-:10].[NH2:1][C:2]1=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]1>>[O:8]=[N+:9]([C:11]1=[CH:12][CH:13]=[C:14]([C:15]([N+:16]([O-:18])=[O:17])=[CH:19]1)[NH:1][C:2]2=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]2)[O-:10].[ClH:20],24.21
[CH3:1][O:2][C:7]1=[C:6]([CH:32]=[C:24]([CH:16]=[C:8]1[S:9](=[O:10])([C:12]([F:14])([F:15])[F:13])=[O:11])[S:25](=[O:26])([C:28]([F:30])([F:31])[F:29])=[O:27])[S:4](=[O:3])([C:33]([F:35])([F:36])[F:34])=[O:5].[NH2:17][C:18]1=[CH:19][CH:20]=[CH:21][CH:22]=[CH:23]1>>[O:3]=[S:4]([C:6]1=[CH:7][C:8]([S:9](=[O:10])([C:12]([F:14])([F:15])[F:13])=[O:11])=[C:16]([C:24]([S:25](=[O:26])([C:28]([F:30])([F:31])[F:29])=[O:27])=[CH:32]1)[NH:17][C:18]2=[CH:19][CH:20]=[CH:21][CH:22]=[CH:23]2)([C:33]([F:35])([F:36])[F:34])=[O:5].[CH3:1][OH:2],20.82
[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([C:15]([C:16]([F:18])([F:19])[F:17])=[CH:20]1)[F:14])[O-:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([C:15]([C:16]([F:18])([F:19])[F:17])=[CH:20]1)[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[O-:9].[FH:14],21.04
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[F:8])[O-:3].[CH2:17]1[CH2:16][CH2:15][NH:14][CH2:19][CH2:18]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[N:14]2[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]2)[O-:3].[FH:8],16.1
[F:16][C:6]1=[N:7][C:8]([F:9])=[C:10]([C:12]([Cl:13])=[C:14]1[F:15])[Cl:11].[CH3:1][CH2:2][NH:3][CH2:4][CH3:5]>>[CH3:1][CH2:2][N:3]([C:6]1=[N:7][C:8]([F:9])=[C:10]([C:12]([Cl:13])=[C:14]1[F:15])[Cl:11])[CH2:4][CH3:5].[FH:16],21.12
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:26][C:25]2=[CH:27][CH:28]=[C:22]([CH:23]=[CH:24]2)[N+:20]([O-:21])=[O:19])=[N:18]1.[O-:10][C:11]1=[CH:12][CH:13]=[CH:14][CH:15]=[C:16]1[Cl:17]>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[CH:14][CH:15]=[C:16]2[Cl:17])=[N:18]1.[O:19]=[N+:20]([C:22]1=[CH:23][CH:24]=[C:25]([CH:27]=[CH:28]1)[O-:26])[O-:21],21.59
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:19]([C:20]([F:22])([F:23])[F:21])=[CH:24]1)[Cl:25])[O-:3].[NH2:11][C:12]1=[CH:13][CH:14]=[C:15]([CH:17]=[CH:18]1)[Cl:16]>>[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:19]([C:20]([F:22])([F:23])[F:21])=[CH:24]1)[NH:11][C:12]2=[CH:13][CH:14]=[C:15]([CH:17]=[CH:18]2)[Cl:16])[O-:3].[ClH:25],22.25
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([C:10]([F:12])([F:13])[F:11])=[CH:14]1)[F:8])[O-:3].[CH2:18]1[CH2:17][CH2:16][NH:15][CH2:19]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([C:10]([F:12])([F:13])[F:11])=[CH:14]1)[N:15]2[CH2:16][CH2:17][CH2:18][CH2:19]2)[O-:3].[FH:8],19.68
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:16]([N+:17]([O-:19])=[O:18])=[CH:20]1)[Cl:21])[O-:3].[S-:8][C:9]1=[CH:10][CH:11]=[CH:12][C:13]([Cl:14])=[CH:15]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:16]([N+:17]([O-:19])=[O:18])=[CH:20]1)[S:8][C:9]2=[CH:10][CH:11]=[CH:12][C:13]([Cl:14])=[CH:15]2)[O-:3].[Cl-:21],20.49
[F:1][C:2]1=[C:3]([N:5]=[C:6]([C:8]([F:9])=[C:10]1[F:11])[Cl:7])[Cl:4].[CH3:12][CH2:13][NH:14][CH2:15][CH3:16]>>[CH3:12][CH2:13][N:14]([C:10]1=[C:8]([C:6]([Cl:7])=[N:5][C:3]([Cl:4])=[C:2]1[F:1])[F:9])[CH2:15][CH3:16].[FH:11],20.86
[CH3:1][O:2][C:15]1=[CH:14][CH:13]=[C:12]([C:20]2=[N:19][O:18][N:17]=[C:16]12)[N+:10]([O-:11])=[O:9].[CH2:3]1[CH2:4][O:5][CH2:6][CH2:7][NH:8]1>>[O:9]=[N+:10]([C:12]1=[CH:13][CH:14]=[C:15]([C:16]2=[N:17][O:18][N:19]=[C:20]12)[N:8]3[CH2:7][CH2:6][O:5][CH2:4][CH2:3]3)[O-:11].[CH3:1][OH:2],18.4
[O:11]=[N+:12]([C:14]1=[CH:15][CH:16]=[C:17]([C:19]([N+:20]([O-:22])=[O:21])=[CH:23]1)[Cl:18])[O-:13].[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[S-:8])[O-:3]>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[S:8][C:17]2=[CH:16][CH:15]=[C:14]([CH:23]=[C:19]2[N+:20]([O-:22])=[O:21])[N+:12]([O-:13])=[O:11])[O-:3].[Cl-:18],20.86
[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[CH:13][N:14]=[C:15]1[Cl:6])[O-:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5]1>>[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[CH:13][N:14]=[C:15]1[N:4]2[CH2:3][CH2:2][CH2:1][CH2:5]2)[O-:9].[ClH:6],17.81
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[F:8])[O-:3].[CH3:14][O-:15]>>[CH3:14][O:15][C:7]1=[CH:6][CH:5]=[C:4]([CH:13]=[C:9]1[N+:10]([O-:12])=[O:11])[N+:2]([O-:3])=[O:1].[F-:8],15.61
[CH3:19][O:20][C:21]1=[N:22][C:23]([O:24][CH3:25])=[N:26][C:27]([O:8][C:7]2=[CH:9][CH:10]=[C:4]([CH:5]=[CH:6]2)[N+:2]([O-:3])=[O:1])=[N:28]1.[O-:11][C:12]1=[CH:13][CH:14]=[C:15]([CH:17]=[CH:18]1)[Cl:16]>>[CH3:19][O:20][C:21]1=[N:22][C:23]([O:24][CH3:25])=[N:26][C:27]([O:11][C:12]2=[CH:13][CH:14]=[C:15]([CH:17]=[CH:18]2)[Cl:16])=[N:28]1.[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[O-:8])[O-:3],20.01
[O:14]=[N+:13]([C:12]1=[CH:11][CH:10]=[C:9]([C:17]([N+:18]([O-:20])=[O:19])=[CH:16]1)[Cl:23])[O-:15].[CH3:1][C:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:21]=[CH:22]1)[S-:8])=[O:3]>>[CH3:1][C:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:21]=[CH:22]1)[S:8][C:9]2=[CH:10][CH:11]=[C:12]([CH:16]=[C:17]2[N+:18]([O-:20])=[O:19])[N+:13]([O-:15])=[O:14])=[O:3].[Cl-:23],19.49
[F:7][C:6]1=[N:8][C:9]([F:10])=[C:11]([C:3]([F:13])=[C:4]1[F:5])[F:12].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[C:4]([C:6]([F:7])=[N:8][C:9]([F:10])=[C:11]1[F:12])[F:5].[F-:13],15.85
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:19][C:20]2=[CH:21][CH:22]=[CH:23][C:24]([N+:25]([O-:27])=[O:26])=[CH:28]2)=[N:18]1.[O-:10][C:11]1=[CH:12][CH:13]=[CH:14][C:15]([Cl:16])=[CH:17]1>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[CH:14][C:15]([Cl:16])=[CH:17]2)=[N:18]1.[O:26]=[N+:25]([C:24]1=[CH:23][CH:22]=[CH:21][C:20]([O-:19])=[CH:28]1)[O-:27],21.2
[F:8][C:7]([F:10])([C:6]1=[CH:5][CH:4]=[C:3]([CH:12]=[CH:11]1)[Cl:13])[F:9].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:11]=[CH:12]1)[C:7]([F:9])([F:10])[F:8].[Cl-:13],34.09
[F:6][C:5]1=[N:7][C:8]([F:9])=[C:10]([C:2]([F:12])=[C:3]1[F:4])[Cl:11].[NH3:1]>>[NH2:1][C:2]1=[C:3]([C:5]([F:6])=[N:7][C:8]([F:9])=[C:10]1[Cl:11])[F:4].[FH:12],21.13
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[CH:7][C:8]([N+:9]([O-:11])=[O:10])=[C:12]1[Cl:13])[O-:3].[CH3:14][CH2:15][CH2:16][CH2:17][NH2:18]>>[CH3:14][CH2:15][CH2:16][CH2:17][NH:18][C:12]1=[C:8]([CH:7]=[CH:6][CH:5]=[C:4]1[N+:2]([O-:3])=[O:1])[N+:9]([O-:11])=[O:10].[ClH:13],19.9
[O:12]=[N+:11]([C:10]1=[CH:9][CH:8]=[C:7]([C:15]([N+:16]([O-:18])=[O:17])=[CH:14]1)[F:21])[O-:13].[O:1]=[CH:2][N:3]1[CH2:4][CH2:5][NH:6][CH2:19][CH2:20]1>>[O:1]=[CH:2][N:3]1[CH2:4][CH2:5][N:6]([CH2:19][CH2:20]1)[C:7]2=[CH:8][CH:9]=[C:10]([CH:14]=[C:15]2[N+:16]([O-:18])=[O:17])[N+:11]([O-:13])=[O:12].[FH:21],17.38
[O:14]=[N+:13]([C:12]1=[CH:11][N:10]=[C:9]([C:17]([N+:18]([O-:20])=[O:19])=[CH:16]1)[Cl:22])[O-:15].[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[CH:6][C:7]([NH2:8])=[CH:21]1>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[CH:6][C:7]([NH:8][C:9]2=[N:10][CH:11]=[C:12]([CH:16]=[C:17]2[N+:18]([O-:20])=[O:19])[N+:13]([O-:15])=[O:14])=[CH:21]1.[ClH:22],19.49
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]2=[N:10][O:11][N:12]=[C:13]12)[Cl:8])[O-:3].[CH3:14][C:15]1=[CH:16][CH:17]=[C:18]([CH:20]=[CH:21]1)[NH2:19]>>[CH3:14][C:15]1=[CH:16][CH:17]=[C:18]([CH:20]=[CH:21]1)[NH:19][C:7]2=[CH:6][CH:5]=[C:4]([C:13]3=[N:12][O:11][N:10]=[C:9]23)[N+:2]([O-:3])=[O:1].[ClH:8],21.29
[CH3:1][O:2][C:3]1=[C:4]([CH:12]=[C:13]([CH:17]=[C:18]1[S:19](=[O:20])([C:22]([F:24])([F:25])[F:23])=[O:21])[N+:14]([O-:16])=[O:15])[S:5](=[O:6])([C:8]([F:10])([F:11])[F:9])=[O:7].[NH2:26][C:27]1=[CH:28][CH:29]=[CH:30][CH:31]=[CH:32]1>>[O:15]=[N+:14]([C:13]1=[CH:12][C:4]([S:5](=[O:6])([C:8]([F:10])([F:11])[F:9])=[O:7])=[C:3]([C:18]([S:19](=[O:20])([C:22]([F:24])([F:25])[F:23])=[O:21])=[CH:17]1)[NH:26][C:27]2=[CH:28][CH:29]=[CH:30][CH:31]=[CH:32]2)[O-:16].[CH3:1][OH:2],18.79
[O:8]=[N+:7]([C:6]1=[CH:5][CH:4]=[C:3]([C:11]([N+:12]([O-:14])=[O:13])=[CH:10]1)[Br:15])[O-:9].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:10]=[C:11]1[N+:12]([O-:14])=[O:13])[N+:7]([O-:9])=[O:8].[Br-:15],19.19
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[F:8])[O-:3].[CH2:14]1[CH2:15][NH:16][CH2:17][CH2:18][NH:19]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[N:16]2[CH2:15][CH2:14][NH:19][CH2:18][CH2:17]2)[O-:3].[FH:8],16.42
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[F:8])[O-:3].[CH2:14]1[CH2:15][NH:16][CH2:17][CH2:18][NH:19]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[N:16]2[CH2:15][CH2:14][NH:19][CH2:18][CH2:17]2)[O-:3].[FH:8],13.89
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:8])[O-:3].[F:20][C:19]([F:22])([CH:18]1[CH2:17][CH2:16][CH2:15][NH:14][CH2:23]1)[F:21]>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[N:14]2[CH2:15][CH2:16][CH2:17][CH:18]([CH2:23]2)[C:19]([F:21])([F:22])[F:20])[O-:3].[ClH:8],21.53
[CH3:1][O:2][C:3]1=[C:4]([CH:12]=[C:13]([CH:17]=[C:18]1[S:19](=[O:20])([C:22]([F:24])([F:25])[F:23])=[O:21])[N+:14]([O-:16])=[O:15])[S:5](=[O:6])([C:8]([F:10])([F:11])[F:9])=[O:7].[CH3:26][C:27]1=[CH:28][CH:29]=[C:30]([CH:32]=[CH:33]1)[NH2:31]>>[CH3:26][C:27]1=[CH:28][CH:29]=[C:30]([CH:32]=[CH:33]1)[NH:31][C:3]2=[C:4]([CH:12]=[C:13]([CH:17]=[C:18]2[S:19](=[O:20])([C:22]([F:24])([F:25])[F:23])=[O:21])[N+:14]([O-:16])=[O:15])[S:5](=[O:6])([C:8]([F:10])([F:11])[F:9])=[O:7].[CH3:1][OH:2],20.98
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:1])[O-:4].[CH3:14][C:15]1=[CH:16][CH:17]=[CH:18][CH:19]=[C:20]1[S-:21]>>[CH3:14][C:15]1=[CH:16][CH:17]=[CH:18][CH:19]=[C:20]1[S:21][C:8]2=[CH:7][CH:6]=[C:5]([CH:13]=[C:9]2[N+:10]([O-:12])=[O:11])[N+:3]([O-:4])=[O:2].[Cl-:1],19.7
[O:9]=[N+:10]([C:12]1=[CH:13][C:14]([N+:15]([O-:17])=[O:16])=[C:18]([C:19]([C:20]([F:22])([F:23])[F:21])=[CH:24]1)[Cl:25])[O-:11].[NH2:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]([Cl:7])=[CH:8]1>>[O:9]=[N+:10]([C:12]1=[CH:13][C:14]([N+:15]([O-:17])=[O:16])=[C:18]([C:19]([C:20]([F:22])([F:23])[F:21])=[CH:24]1)[NH:1][C:2]2=[CH:3][CH:4]=[CH:5][C:6]([Cl:7])=[CH:8]2)[O-:11].[ClH:25],23.08
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:12]([C:13]([F:15])([F:16])[F:14])=[CH:17]1)[Cl:11])[O-:3].[CH3:18][C:19]1=[CH:20][CH:21]=[CH:22][C:23]([NH2:24])=[CH:25]1>>[CH3:18][C:19]1=[CH:20][CH:21]=[CH:22][C:23]([NH:24][C:10]2=[C:6]([CH:5]=[C:4]([CH:17]=[C:12]2[C:13]([F:15])([F:16])[F:14])[N+:2]([O-:3])=[O:1])[N+:7]([O-:9])=[O:8])=[CH:25]1.[ClH:11],20.85
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:12]([C:13]([F:15])([F:16])[F:14])=[CH:17]1)[Cl:11])[O-:3].[CH3:18][C:19]1=[CH:20][CH:21]=[CH:22][C:23]([NH2:24])=[CH:25]1>>[CH3:18][C:19]1=[CH:20][CH:21]=[CH:22][C:23]([NH:24][C:10]2=[C:6]([CH:5]=[C:4]([CH:17]=[C:12]2[C:13]([F:15])([F:16])[F:14])[N+:2]([O-:3])=[O:1])[N+:7]([O-:9])=[O:8])=[CH:25]1.[ClH:11],21.78
[CH3:1][O:2][C:3]([C:5]1=[C:12]([O:19][CH3:20])[S:11][C:7]([N+:8]([O-:10])=[O:9])=[CH:6]1)=[O:4].[CH2:16]1[CH2:15][CH2:14][NH:13][CH2:18][CH2:17]1>>[CH3:1][O:2][C:3]([C:5]1=[C:12]([N:13]2[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]2)[S:11][C:7]([N+:8]([O-:10])=[O:9])=[CH:6]1)=[O:4].[CH3:20][OH:19],19.35
[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([C:14]([N+:15]([O-:17])=[O:16])=[CH:18]1)[O:19][C:20]2=[CH:21][CH:22]=[CH:23][CH:24]=[CH:25]2)[O-:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([C:14]([N+:15]([O-:17])=[O:16])=[CH:18]1)[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[O-:9].[OH:19][C:20]1=[CH:21][CH:22]=[CH:23][CH:24]=[CH:25]1,21.74
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:8])[O-:3].[CH3:14][CH2:15][CH2:16][NH2:17]>>[CH3:14][CH2:15][CH2:16][NH:17][C:7]1=[CH:6][CH:5]=[C:4]([CH:13]=[C:9]1[N+:10]([O-:12])=[O:11])[N+:2]([O-:3])=[O:1].[ClH:8],21.53
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[Br:8])[O-:3].[CH2:11]1[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[N:14]2[CH2:13][CH2:12][CH2:11][CH2:16][CH2:15]2)[O-:3].[BrH:8],28.02
[F:1][C:2]1=[N:3][CH:4]=[C:5]([C:7]([F:8])=[N:9]1)[F:6].[CH3:10][O-:11]>>[CH3:10][O:11][C:7]1=[N:9][C:2]([F:1])=[N:3][CH:4]=[C:5]1[F:6].[F-:8],13.06
[O:14]=[N+:13]([C:12]1=[CH:11][CH:10]=[C:9]([C:17]([N+:18]([O-:20])=[O:19])=[CH:16]1)[Cl:1])[O-:15].[CH3:2][O:3][C:4]1=[CH:5][CH:6]=[C:7]([CH:21]=[CH:22]1)[S-:8]>>[CH3:2][O:3][C:4]1=[CH:5][CH:6]=[C:7]([CH:21]=[CH:22]1)[S:8][C:9]2=[CH:10][CH:11]=[C:12]([CH:16]=[C:17]2[N+:18]([O-:20])=[O:19])[N+:13]([O-:15])=[O:14].[Cl-:1],18.81
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:12]([C:13]([F:15])([F:16])[F:14])=[CH:17]1)[Cl:11])[O-:3].[NH2:18][C:19]1=[CH:20][CH:21]=[CH:22][C:23]([Cl:24])=[CH:25]1>>[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:12]([C:13]([F:15])([F:16])[F:14])=[CH:17]1)[NH:18][C:19]2=[CH:20][CH:21]=[CH:22][C:23]([Cl:24])=[CH:25]2)[O-:3].[ClH:11],24.45
[O:8]=[N+:7]([C:6]1=[CH:5][CH:4]=[C:3]([C:11]([N+:12]([O-:14])=[O:13])=[CH:10]1)[O:15][C:16]2=[CH:17][CH:18]=[CH:19][C:20]([Br:21])=[CH:22]2)[O-:9].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:10]=[C:11]1[N+:12]([O-:14])=[O:13])[N+:7]([O-:9])=[O:8].[O-:15][C:16]1=[CH:17][CH:18]=[CH:19][C:20]([Br:21])=[CH:22]1,21.04
[F:16][C:6]1=[N:7][C:8]([F:9])=[C:10]([C:12]([F:13])=[C:14]1[F:15])[Cl:11].[CH3:1][CH2:2][NH:3][CH2:4][CH3:5]>>[CH3:1][CH2:2][N:3]([C:6]1=[N:7][C:8]([F:9])=[C:10]([C:12]([F:13])=[C:14]1[F:15])[Cl:11])[CH2:4][CH3:5].[FH:16],21.19
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([CH:9]=[CH:10]1)[Cl:1])[O-:4].[CH2:11]1[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]1>>[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([CH:9]=[CH:10]1)[N:14]2[CH2:13][CH2:12][CH2:11][CH2:16][CH2:15]2)[O-:4].[ClH:1],27.06
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([CH:9]=[CH:10]1)[Cl:1])[O-:4].[CH2:11]1[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]1>>[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([CH:9]=[CH:10]1)[N:14]2[CH2:13][CH2:12][CH2:11][CH2:16][CH2:15]2)[O-:4].[ClH:1],28.97
[O:10]=[N+:11]([C:13]1=[CH:14][CH:15]=[C:16]([N:17]=[CH:18]1)[Cl:1])[O-:12].[CH3:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:8]=[CH:9]1)[O-:7]>>[CH3:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:8]=[CH:9]1)[O:7][C:16]2=[CH:15][CH:14]=[C:13]([CH:18]=[N:17]2)[N+:11]([O-:12])=[O:10].[Cl-:1],22.31
[F:5][C:4]1=[N:6][C:7]([F:8])=[C:9]([C:2]([F:11])=[N:3]1)[F:10].[NH3:1]>>[NH2:1][C:2]1=[N:3][C:4]([F:5])=[N:6][C:7]([F:8])=[C:9]1[F:10].[FH:11],17.25
