idx,rsmi,psmi,rinchi,pinchi,dE0,dHrxn298,rmg_family
1159,[C:1]([C:2]([C:3]([O:4][H:12])([H:10])[H:11])([H:8])[H:9])([H:5])([H:6])[H:7],[C:1]([C:2]([O:4][H:12])([H:8])[H:9])([H:5])([H:6])[H:7].[C:3]([H:10])[H:11],"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3","InChI=1S/C2H6O.CH2/c1-2-3;/h3H,2H2,1H3;1H2",124.51075,106.68418,"1,2_Insertion_carbene"
1160,[C:1]([O:2][C:3]([C:4](=[O:5])[C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C-:1]([O+:2]=[C:3]([H:10])[H:11])([H:7])[H:9].[C:4](=[O:5])([C:6]([H:12])([H:13])[H:14])[H:8],"InChI=1S/C4H8O2/c1-4(5)3-6-2/h3H2,1-2H3","InChI=1S/2C2H4O/c1-3-2;1-2-3/h1-2H2;2H,1H3",77.74586,74.8739,
1161,[C:1]([O:2][C:3]([C:4](=[O:5])[C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][C@@:3]1([H:11])[C@@:4]([C:6]([H:12])([H:13])[H:14])([H:10])[O:5]1)([H:7])([H:8])[H:9],"InChI=1S/C4H8O2/c1-4(5)3-6-2/h3H2,1-2H3","InChI=1S/C4H8O2/c1-3-4(5-2)6-3/h3-4H,1-2H3/t3-,4+/m0/s1",70.94821999999999,19.4231,
1162,[C:1]([O:2][C:3]([C:4](=[O:5])[C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][C:3]([C:4]([O:5][H:12])=[C:6]([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H8O2/c1-4(5)3-6-2/h3H2,1-2H3","InChI=1S/C4H8O2/c1-4(5)3-6-2/h5H,1,3H2,2H3",65.26688,11.22171,ketoenol
1163,[C:1]([O:2][C:3]([C:4](=[O:5])[C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[O:2])([H:7])[H:9].[C:3](=[C:4]([O:5][H:8])[C:6]([H:12])([H:13])[H:14])([H:10])[H:11],"InChI=1S/C4H8O2/c1-4(5)3-6-2/h3H2,1-2H3","InChI=1S/C3H6O.CH2O/c1-3(2)4;1-2/h4H,1H2,2H3;1H2",57.93273000000001,13.88584,Retroene
1164,[C:1]([O:2][C:3]([C:4](=[O:5])[C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2]/[C:3](=[C:4](/[O:5][H:10])[C:6]([H:12])([H:13])[H:14])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H8O2/c1-4(5)3-6-2/h3H2,1-2H3","InChI=1S/C4H8O2/c1-4(5)3-6-2/h3,5H,1-2H3/b4-3+",64.75583,10.81478,ketoenol
1165,[C:1]([O:2][C:3]([C:4]([O:5][C:6]([H:14])([H:15])[H:16])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][H:13])([H:7])([H:8])[H:9].[C:3](=[C:4]([O:5][C:6]([H:14])([H:15])[H:16])[H:12])([H:10])[H:11],"InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3","InChI=1S/C3H6O.CH4O/c1-3-4-2;1-2/h3H,1H2,2H3;2H,1H3",68.97818000000001,11.140189999999999,"1,3_Insertion_ROR"
1166,[C:1]([O:2][C:3]([C:4]([O:5][C:6]([H:14])([H:15])[H:16])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C-:1]([O+:2]=[C:3]([H:10])[H:11])([H:7])[H:9].[C:4]([O:5][C:6]([H:14])([H:15])[H:16])([H:8])([H:12])[H:13],"InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3",InChI=1S/C2H6O.C2H4O/c2*1-3-2/h1-2H3;1-2H2,92.62771,72.46125,
1167,[C:1]([O:2][C:3]([C:4]([O:5][C:6]([H:14])([H:15])[H:16])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][C:3]([C:4](=[O+:5][C-:6]([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9].[H:13][H:16],"InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3","InChI=1S/C4H8O2.H2/c1-5-3-4-6-2;/h3H,1,4H2,2H3;1H",80.31952,76.90331,
1168,[N:1]([C:2](=[O:3])[C:4](=[O:5])[H:8])([H:6])[H:7],[C-:4]#[O+:5].[N:1]([C:2][O:3][H:8])([H:6])[H:7],"InChI=1S/C2H3NO2/c3-2(5)1-4/h1H,(H2,3,5)","InChI=1S/CH3NO.CO/c2-1-3;1-2/h3H,2H2;",56.76471,36.80983,
1169,[N:1]([C:2](=[O:3])[C:4](=[O:5])[H:8])([H:6])[H:7],[N:1](=[C:2](/[O:3][H:6])[C:4](=[O:5])[H:8])\[H:7],"InChI=1S/C2H3NO2/c3-2(5)1-4/h1H,(H2,3,5)","InChI=1S/C2H3NO2/c3-2(5)1-4/h1H,(H2,3,5)",47.48234,12.415280000000001,ketoenol
1170,[N:1]([C:2](=[O:3])[C:4](=[O:5])[H:8])([H:6])[H:7],[N:1]([C:2](=[O:3])[O+:5]=[C-:4][H:8])([H:6])[H:7],"InChI=1S/C2H3NO2/c3-2(5)1-4/h1H,(H2,3,5)","InChI=1S/C2H3NO2/c1-5-2(3)4/h1H,(H2,3,4)",78.84813,55.2293,
1171,[N:1]([C:2](=[O:3])[C:4](=[O:5])[H:8])([H:6])[H:7],[N:1]([C:2]([O-:3])=[C:4]=[O+:5][H:8])([H:6])[H:7],"InChI=1S/C2H3NO2/c3-2(5)1-4/h1H,(H2,3,5)","InChI=1S/C2H3NO2/c3-2(5)1-4/h5H,3H2",84.18784000000001,53.623380000000004,
1172,[N:1]([C:2](=[O:3])[C:4](=[O:5])[H:8])([H:6])[H:7],[N:1]([C-:2]=[O+:3][C:4](=[O:5])[H:8])([H:6])[H:7],"InChI=1S/C2H3NO2/c3-2(5)1-4/h1H,(H2,3,5)","InChI=1S/C2H3NO2/c3-1-5-2-4/h2H,3H2",55.57751999999999,33.93418,
1173,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O:3][C@@:4]1([H:14])[O:5][C:6]1([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3","InChI=1S/C4H8O2/c1-2-5-4-3-6-4/h4H,2-3H2,1H3/t4-/m0/s1",103.72397,45.42726,
1174,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O:3][C-:4]=[O+:5][C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3","InChI=1S/C4H8O2/c1-3-6-4-5-2/h3H2,1-2H3",106.46661,60.17064,
1175,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2](=[O:3])[H:10])([H:7])([H:8])[H:9].[C:4](=[O:5])([C:6]([H:12])([H:13])[H:14])[H:11],"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3","InChI=1S/2C2H4O/c2*1-2-3/h2*2H,1H3",73.13625,26.52988,
1176,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O:3][C:4]([O:5][H:14])=[C:6]([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3","InChI=1S/C4H8O2/c1-3-6-4(2)5/h5H,2-3H2,1H3",70.63339,28.797990000000002,ketoenol
1177,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O:3][H:14])([H:10])[H:11])([H:7])([H:8])[H:9].[C:4](=[O:5])=[C:6]([H:12])[H:13],"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3","InChI=1S/C2H6O.C2H2O/c2*1-2-3/h3H,2H2,1H3;1H2",72.69702,38.38813,"1,3_Insertion_ROR"
1178,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2]([H:10])[H:11])([H:8])[H:9].[O:3]=[C:4]([O:5][H:7])[C:6]([H:12])([H:13])[H:14],"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3","InChI=1S/C2H4O2.C2H4/c1-2(3)4;1-2/h1H3,(H,3,4);1-2H2",49.32915,15.548829999999999,Retroene
1179,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C-:2](=[O+:3][C:4](=[O:5])[C:6]([H:12])([H:13])[H:14])[H:10].[C:1]([H:7])([H:8])([H:9])[H:11],"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3","InChI=1S/C3H4O2.CH4/c1-3(4)5-2;/h2H,1H3;1H4",89.21548,76.07449,
1180,[C:1]([C:2]1([O:3][H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])([H:7])([H:8])[H:9],[C:1]([H:7])([H:8])([H:9])[H:16].[C:2]1([O:3][H:10])=[C:6]([H:15])[C:5]([H:13])([H:14])[C:4]1([H:11])[H:12],"InChI=1S/C5H10O/c1-5(6)3-2-4-5/h6H,2-4H2,1H3","InChI=1S/C4H6O.CH4/c5-4-2-1-3-4;/h2,5H,1,3H2;1H4",110.11051,20.98571,
1181,[C:1]([C:2]1([O:3][H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])([H:7])([H:8])[H:9],[C:1](=[C:2]([O:3][H:10])[C:4]1([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])([H:7])[H:9].[H:8][H:11],"InChI=1S/C5H10O/c1-5(6)3-2-4-5/h6H,2-4H2,1H3","InChI=1S/C5H8O.H2/c1-4(6)5-2-3-5;/h5-6H,1-3H2;1H",109.74435,31.52918,
1182,[C:1]([C:2]1([O:3][H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])([H:7])([H:8])[H:9],[C:1]([C:2](=[O:3])[C:4]([C:5]([C:6]([H:10])([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])([H:7])([H:8])[H:9],"InChI=1S/C5H10O/c1-5(6)3-2-4-5/h6H,2-4H2,1H3","InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",69.45466,-16.4768,
1183,[C:1]([C:2]1([O:3][H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])([H:7])([H:8])[H:9],[C:1]([C:2]1([O:3][H:10])[C:4]([H:11])([H:12])[C:5]1([H:13])[H:14])([H:7])([H:8])[H:9].[C:6]([H:15])[H:16],"InChI=1S/C5H10O/c1-5(6)3-2-4-5/h6H,2-4H2,1H3","InChI=1S/C4H8O.CH2/c1-4(5)2-3-4;/h5H,2-3H2,1H3;1H2",115.49958000000001,112.80108999999999,
1184,[C:1]([C:2]1([O:3][H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])([H:7])([H:8])[H:9],[C:1]([C:2]1=[C:6]([H:16])[C:5]([H:13])([H:14])[C:4]1([H:11])[H:12])([H:7])([H:8])[H:9].[O:3]([H:10])[H:15],"InChI=1S/C5H10O/c1-5(6)3-2-4-5/h6H,2-4H2,1H3","InChI=1S/C5H8.H2O/c1-5-3-2-4-5;/h3H,2,4H2,1H3;1H2",68.39141,15.352789999999999,"1,3_Insertion_ROR"
1185,[C:1]([C:2]1([O:3][H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])([H:7])([H:8])[H:9],[C:1]([C:2][O:3][H:10])([H:7])([H:8])[H:9].[C:4]1([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16],"InChI=1S/C5H10O/c1-5(6)3-2-4-5/h6H,2-4H2,1H3","InChI=1S/C3H6.C2H4O/c1-2-3-1;1-2-3/h1-3H2;3H,1H3",106.58243999999999,71.77646999999999,
1186,[C:1]([C:2]1([O:3][H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])([H:7])([H:8])[H:9],[C:1]1([H:7])([H:8])[C:2](=[O:3])[C:6]([H:15])([H:16])[C:5]([H:13])([H:14])[C:4]1([H:11])[H:12].[H:9][H:10],"InChI=1S/C5H10O/c1-5(6)3-2-4-5/h6H,2-4H2,1H3",InChI=1S/C5H8O.H2/c6-5-3-1-2-4-5;/h1-4H2;1H,96.93486999999999,-2.20744,
1187,[O:1]([C:2]12[C:3]([H:8])([H:9])[N:4]([C:5]1([H:10])[H:11])[C:6]2([H:12])[H:13])[H:7],[O:1]([C:2][C:5]([N+:4]([C-:3]([H:8])[H:9])=[C:6]([H:12])[H:13])([H:10])[H:11])[H:7],"InChI=1S/C4H7NO/c6-4-1-5(2-4)3-4/h6H,1-3H2","InChI=1S/C4H7NO/c1-5(2)3-4-6/h6H,1-3H2",50.89672,45.68339,
1188,[O:1]([C:2]12[C:3]([H:8])([H:9])[N:4]([C:5]1([H:10])[H:11])[C:6]2([H:12])[H:13])[H:7],[O:1]([C:2]12[C:3]([H:8])([H:9])[N+:4]([H:12])([C:5]1([H:10])[H:11])[C-:6]2[H:13])[H:7],"InChI=1S/C4H7NO/c6-4-1-5(2-4)3-4/h6H,1-3H2","InChI=1S/C4H7NO/c6-4-1-5(2-4)3-4/h1,5-6H,2-3H2",71.63533000000001,55.5956,
1189,[O:1]([C:2]12[C:3]([H:8])([H:9])[N:4]([C:5]1([H:10])[H:11])[C:6]2([H:12])[H:13])[H:7],[O:1]([C:2]1([C:3][H:9])[C:5]([H:10])([H:11])[N:4]([H:8])[C:6]1([H:12])[H:13])[H:7],"InChI=1S/C4H7NO/c6-4-1-5(2-4)3-4/h6H,1-3H2","InChI=1S/C4H7NO/c1-4(6)2-5-3-4/h1,5-6H,2-3H2",71.73563,52.99201,
1190,[O:1]([C:2]12[C:3]([H:8])([H:9])[N:4]([C:5]1([H:10])[H:11])[C:6]2([H:12])[H:13])[H:7],[O:1]([C:2][C:6]([N:4]1[C:3]([H:8])([H:9])[C:5]1([H:10])[H:11])([H:12])[H:13])[H:7],"InChI=1S/C4H7NO/c6-4-1-5(2-4)3-4/h6H,1-3H2","InChI=1S/C4H7NO/c6-4-3-5-1-2-5/h6H,1-3H2",107.2747,30.006529999999998,
1191,[O:1]([C:2]12[C:3]([H:8])([H:9])[N:4]([C:5]1([H:10])[H:11])[C:6]2([H:12])[H:13])[H:7],[O:1]([C:3]([C:2]12[N:4]([C:5]1([H:10])[H:11])[C:6]2([H:12])[H:13])([H:8])[H:9])[H:7],"InChI=1S/C4H7NO/c6-4-1-5(2-4)3-4/h6H,1-3H2","InChI=1S/C4H7NO/c6-3-4-1-5(4)2-4/h6H,1-3H2",65.61936,-7.06968,
1192,[C:1]([C:2](=[O:3])[N:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])([H:7])([H:8])[H:9],[C:1]([C:2]([O:3][H:13])=[N+:4]1[C:5]([H:10])([H:11])[C-:6]1[H:12])([H:7])([H:8])[H:9],"InChI=1S/C4H7NO/c1-4(6)5-2-3-5/h2-3H2,1H3","InChI=1S/C4H7NO/c1-4(6)5-2-3-5/h2,6H,3H2,1H3",61.861909999999995,59.449830000000006,
1193,[C:1]([C:2](=[O:3])[N:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])([H:7])([H:8])[H:9],[C:1]([N:4]=[C:2]=[O:3])([H:7])([H:8])[H:9].[C:5](=[C:6]([H:12])[H:13])([H:10])[H:11],"InChI=1S/C4H7NO/c1-4(6)5-2-3-5/h2-3H2,1H3",InChI=1S/C2H3NO.C2H4/c1-3-2-4;1-2/h1H3;1-2H2,60.81499,0.06942999999999999,
1194,[C:1]([C:2](=[O:3])[N:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])([H:7])([H:8])[H:9],[C:1]([C:2]1=[N:4][C:6]([H:12])([H:13])[C:5]([H:10])([H:11])[O:3]1)([H:7])([H:8])[H:9],"InChI=1S/C4H7NO/c1-4(6)5-2-3-5/h2-3H2,1H3","InChI=1S/C4H7NO/c1-4-5-2-3-6-4/h2-3H2,1H3",42.19972,-17.621920000000003,ketoenol
1195,[C:1]([C:2](=[O:3])[N:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])([H:7])([H:8])[H:9],[C:1]([C:2]1=[N+:4]([C-:5]([H:10])[H:11])[C:6]([H:12])([H:13])[O:3]1)([H:7])([H:8])[H:9],"InChI=1S/C4H7NO/c1-4(6)5-2-3-5/h2-3H2,1H3","InChI=1S/C4H7NO/c1-4-5(2)3-6-4/h2-3H2,1H3",77.09521,59.209,
1196,[C:1]([C:2](=[O:3])[N:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])([H:7])([H:8])[H:9],[C:1]([C:2](=[O:3])[H:11])([H:7])([H:8])[H:9].[N:4]1=[C:5]([H:10])[C:6]1([H:12])[H:13],"InChI=1S/C4H7NO/c1-4(6)5-2-3-5/h2-3H2,1H3","InChI=1S/C2H3N.C2H4O/c1-2-3-1;1-2-3/h1H,2H2;2H,1H3",83.75214,38.11842,
1197,[C:1]([C:2](=[O:3])[N:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])([H:7])([H:8])[H:9],[C:1](=[C:2]([O:3][H:9])[N:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])([H:7])[H:8],"InChI=1S/C4H7NO/c1-4(6)5-2-3-5/h2-3H2,1H3","InChI=1S/C4H7NO/c1-4(6)5-2-3-5/h6H,1-3H2",66.85382,19.54172,ketoenol
1198,[C:1]([C:2](=[O:3])[N:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])([H:7])([H:8])[H:9],[C:1]([N:4]1[C:2](=[O:3])[C:6]([H:12])([H:13])[C:5]1([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H7NO/c1-4(6)5-2-3-5/h2-3H2,1H3","InChI=1S/C4H7NO/c1-5-3-2-4(5)6/h2-3H2,1H3",81.72967,-13.10506,
1199,[C:1]([C:2](=[O:3])[N:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])([H:7])([H:8])[H:9],[C:1]([C:2](=[O:3])[N+:4]([C-:5]([H:10])[H:11])=[C:6]([H:12])[H:13])([H:7])([H:8])[H:9],"InChI=1S/C4H7NO/c1-4(6)5-2-3-5/h2-3H2,1H3","InChI=1S/C4H7NO/c1-4(6)5(2)3/h2-3H2,1H3",40.570809999999994,30.036170000000002,
1200,[C:1]([C:2](=[O:3])[N:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])([H:7])([H:8])[H:9],[C:1]([C:2](=[O:3])[N+:4]1([H:12])[C:5]([H:10])([H:11])[C-:6]1[H:13])([H:7])([H:8])[H:9],"InChI=1S/C4H7NO/c1-4(6)5-2-3-5/h2-3H2,1H3","InChI=1S/C4H7NO/c1-4(6)5-2-3-5/h2,5H,3H2,1H3",64.84057,54.5478,
1201,[C:1]([C:2](=[O:3])[N:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])([H:7])([H:8])[H:9],[C:1]([C:2](=[O:3])[C:5]([N:4]=[C:6]([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H7NO/c1-4(6)5-2-3-5/h2-3H2,1H3","InChI=1S/C4H7NO/c1-4(6)3-5-2/h2-3H2,1H3",72.85665,-4.91357,
1202,[C:1]([C:2](=[O:3])[N:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])([H:7])([H:8])[H:9],[C:1](/[C:2]([O:3][H:12])=[N:4]/[C:6](=[C:5]([H:10])[H:11])[H:13])([H:7])([H:8])[H:9],"InChI=1S/C4H7NO/c1-4(6)5-2-3-5/h2-3H2,1H3","InChI=1S/C4H7NO/c1-3-5-4(2)6/h3H,1H2,2H3,(H,5,6)",52.373670000000004,-10.08301,
1203,[C:1]([C:2](=[O:3])[N:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])([H:7])([H:8])[H:9],[C:1]([C@:2]12[O:3][N:4]1[C:5]([H:10])([H:11])[C:6]2([H:12])[H:13])([H:7])([H:8])[H:9],"InChI=1S/C4H7NO/c1-4(6)5-2-3-5/h2-3H2,1H3","InChI=1S/C4H7NO/c1-4-2-3-5(4)6-4/h2-3H2,1H3/t4-,5?/m1/s1",84.67985,44.59714,
1204,[C:1]([C:2]#[C:3][C:4](=[O:5])[H:9])([H:6])([H:7])[H:8],[C:1](=[C:2]=[C:3]([C:4](=[O:5])[H:9])[H:7])([H:6])[H:8],"InChI=1S/C4H4O/c1-2-3-4-5/h4H,1H3","InChI=1S/C4H4O/c1-2-3-4-5/h3-4H,1H2",88.46518,-0.32154,
1205,[C:1]([C:2]#[C:3][C:4](=[O:5])[H:9])([H:6])([H:7])[H:8],[C:1](=[C:2]=[C:3]=[C:4]([O:5][H:7])[H:9])([H:6])[H:8],"InChI=1S/C4H4O/c1-2-3-4-5/h4H,1H3","InChI=1S/C4H4O/c1-2-3-4-5/h4-5H,1H2",60.25662,16.64136,
1206,[C:1]([C:2]#[C:3][C:4](=[O:5])[H:9])([H:6])([H:7])[H:8],[C:1]([C:2](=[C:3]=[C:4]=[O:5])[H:9])([H:6])([H:7])[H:8],"InChI=1S/C4H4O/c1-2-3-4-5/h4H,1H3","InChI=1S/C4H4O/c1-2-3-4-5/h2H,1H3",76.78111,0.76077,
1207,[C:1]([C:2]#[C:3][C:4](=[O:5])[H:9])([H:6])([H:7])[H:8],[C:1]([C+:2]=[C:3]=[C-:4][O:5][H:9])([H:6])([H:7])[H:8],"InChI=1S/C4H4O/c1-2-3-4-5/h4H,1H3","InChI=1S/C4H4O/c1-2-3-4-5/h5H,1H3",77.98803000000001,46.61181,
1208,[C:1]([C:2]#[C:3][C:4](=[O:5])[H:9])([H:6])([H:7])[H:8],[C:1]([C:2](=[C:3])[C:4](=[O:5])[H:9])([H:6])([H:7])[H:8],"InChI=1S/C4H4O/c1-2-3-4-5/h4H,1H3","InChI=1S/C4H4O/c1-4(2)3-5/h3H,1H3",51.48186,45.28219,
1209,[C:1]([C:2]#[C:3][C:4](=[O:5])[H:9])([H:6])([H:7])[H:8],[C:1](=[C:2]([C+:3]=[C:4]([O-:5])[H:9])[H:7])([H:6])[H:8],"InChI=1S/C4H4O/c1-2-3-4-5/h4H,1H3","InChI=1S/C4H4O/c1-2-3-4-5/h2,4H,1H2",73.72184,52.28671,
1210,[C:1]([C:2]#[C:3][C:4](=[O:5])[H:9])([H:6])([H:7])[H:8],[C:1](=[C:2]=[C:3]=[C:4]=[O:5])([H:6])[H:8].[H:7][H:9],"InChI=1S/C4H4O/c1-2-3-4-5/h4H,1H3",InChI=1S/C4H2O.H2/c1-2-3-4-5;/h1H2;1H,68.73437,33.97958,
1211,[C:1]([C:2]([C@@:3]([C:4]([H:13])([H:14])[H:15])([C:5](=[O:6])[H:16])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([C+:3]=[C:5]([O-:6])[H:16])([H:10])[H:11])([H:7])([H:8])[H:9].[C:4]([H:12])([H:13])([H:14])[H:15],"InChI=1S/C5H10O/c1-3-5(2)4-6/h4-5H,3H2,1-2H3/t5-/m1/s1","InChI=1S/C4H6O.CH4/c1-2-3-4-5;/h4H,2H2,1H3;1H4",87.94884,85.20018,
1212,[C:1]([C:2]([C@@:3]([C:4]([H:13])([H:14])[H:15])([C:5](=[O:6])[H:16])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([C:5]([C:4]([H:13])([H:14])[H:15])=[O:6])([H:12])[H:16])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C5H10O/c1-3-5(2)4-6/h4-5H,3H2,1-2H3/t5-/m1/s1","InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",75.40613,-6.20233,
1213,[C:1]([C:2]([C@@:3]([C:4]([H:13])([H:14])[H:15])([C:5](=[O:6])[H:16])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([C@:3]1([C:4]([H:13])([H:14])[H:15])[C:5]([H:12])([H:16])[O:6]1)([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C5H10O/c1-3-5(2)4-6/h4-5H,3H2,1-2H3/t5-/m1/s1","InChI=1S/C5H10O/c1-3-5(2)4-6-5/h3-4H2,1-2H3/t5-/m1/s1",73.90701,19.03003,
1214,[C:1]([C:2]([C@@:3]([C:4]([H:13])([H:14])[H:15])([C:5](=[O:6])[H:16])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O:6]/[C:5](=[C:3](\[C:4]([H:13])([H:14])[H:15])[H:12])[H:16])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C5H10O/c1-3-5(2)4-6/h4-5H,3H2,1-2H3/t5-/m1/s1","InChI=1S/C5H10O/c1-3-5-6-4-2/h3,5H,4H2,1-2H3/b5-3-",90.63503,21.17033,ketoenol
1215,[C:1]([C:2]([C@@:3]([C:4]([H:13])([H:14])[H:15])([C:5](=[O:6])[H:16])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([C:5]([C:3]([C:4]([H:13])([H:14])[H:15])([H:12])[H:16])=[O:6])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C5H10O/c1-3-5(2)4-6/h4-5H,3H2,1-2H3/t5-/m1/s1","InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3",73.22596999999999,-6.385730000000001,
1216,[C:1]([C:2]([C@@:3]([C:4]([H:13])([H:14])[H:15])([C:5](=[O:6])[H:16])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]1([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]1([C@@:5]([C:4]([H:13])([H:14])[H:15])([O:6][H:7])[H:16])[H:12],"InChI=1S/C5H10O/c1-3-5(2)4-6/h4-5H,3H2,1-2H3/t5-/m1/s1","InChI=1S/C5H10O/c1-4(6)5-2-3-5/h4-6H,2-3H2,1H3/t4-/m1/s1",90.2203,17.57604,
1217,[C:1]([C:2]([C@@:3]([C:4]([H:13])([H:14])[H:15])([C:5](=[O:6])[H:16])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](/[C:2](=[C:3](\[C:4]([H:13])([H:14])[H:15])[H:12])[H:11])([H:7])([H:8])[H:9].[C:5](=[O:6])([H:10])[H:16],"InChI=1S/C5H10O/c1-3-5(2)4-6/h4-5H,3H2,1-2H3/t5-/m1/s1","InChI=1S/C4H8.CH2O/c1-3-4-2;1-2/h3-4H,1-2H3;1H2/b4-3-;",71.13203,28.064529999999998,
